Species,20925_2#1,20925_2#2,20925_2#3,20925_2#4,20925_2#5,20925_2#6,20925_2#7,20925_2#8,20925_2#9,20925_2#10,20925_2#11,20925_2#12,20925_2#13,20925_2#14,20925_2#15,20925_2#16,20925_2#17,20925_2#18,20925_2#19,20925_2#20,20925_2#21,20925_2#22,20925_2#23,20925_2#24,20925_2#25,20925_2#26,20925_2#27,20925_2#28,20925_2#29,20925_2#30,20925_2#31,20925_2#32,20925_2#33,20925_2#34,20925_2#35,20925_2#36,20925_2#37,20925_2#38,20925_2#39,20925_2#40,20925_2#41,20925_2#42,20925_2#43,20925_2#44,20925_2#45,20925_2#46,20925_2#47,20925_2#48,20925_2#49,20925_2#50,20925_2#51,20925_2#52,20925_2#53,20925_2#54,20925_2#55,20925_2#56,20925_2#57,20925_2#58,20925_2#59,20925_2#60,20925_2#61,20925_2#62,20925_2#63,20925_2#64,20925_2#65,20925_2#66,20925_2#67,20925_2#68,20925_2#69,20925_2#70,20925_2#71,20925_2#72,20925_2#73,20925_2#74,20925_2#75,20925_2#76,20925_2#77,20925_2#78,20925_2#79,20925_2#80,20925_2#81,20925_2#82,20925_2#83,20925_2#84,20925_2#85,20925_2#86,20925_2#87,20925_2#88,20957_7#1,20957_7#2,20957_7#3,20957_7#4,20957_7#5,20957_7#6,20957_7#7,20957_7#8,20957_7#9,20957_7#10,20957_7#11,20957_7#12,20957_7#13,20957_7#14,20957_7#15,20957_7#16,20957_7#17,20957_7#18,20957_7#19,20957_7#20,20957_7#21,20957_7#22,20957_7#23,20957_7#24,20957_7#25,20957_7#26,20957_7#27,20957_7#28,20957_7#29,20957_7#30,20957_7#31,20957_7#32,20957_7#33,20957_7#34,20957_7#35,20957_7#36,20957_7#37,20957_7#38,20957_7#39,20957_7#40,20957_7#41,20957_7#42,20957_7#43,20957_7#44,20957_7#45,20957_7#46,20957_7#47,20957_7#48,20957_7#49,20957_7#50,20957_7#51,20957_7#52,20957_7#53,20957_7#54,20957_7#55,20957_7#56,20957_7#57,20957_7#58,20957_7#59,20957_7#60,20957_7#61,20957_7#62,20957_7#63,20957_7#64,20957_7#65,20957_7#66,20957_7#67,20957_7#68,20957_7#69,20957_7#70,20957_7#71,20957_7#72,20957_7#73,20957_7#74,20957_7#75,20957_7#76,20957_7#77,20957_7#78,20957_7#79,20957_7#80,20957_7#81,20957_7#82,20957_7#83,20957_7#84,20957_7#85,20957_7#86,20957_7#87,20957_7#88,20957_7#89,20957_7#90,20957_7#91,20957_7#92,20957_7#93,20957_7#94,20957_7#95
Unclassified,16.99,11.18,93.19,7.31,4.11,32.1,8.11,6.77,11.27,5.77,93.33,9.69,7.18,25.16,8.13,2.06,89.06,4.23,93.74,9.48,14.17,37.48,8.02,7.03,10.06,8.24,93.39,9.2,14.93,26.69,10,7.67,10.39,92.62,7.48,93.18,14.59,88.93,10.16,7.63,9.32,92.68,7.53,4.17,5.84,88.42,10.42,7.98,94.99,92.71,7.39,94.47,10.95,4.98,9.72,7.33,60.82,92.72,7.42,94.4,9.8,5.08,5.03,93.2,93.82,18.32,93.17,5.9,10.23,5.12,4.94,97.5,82.56,17.45,93.33,4.14,11.45,5,5.17,97.49,8.8,17.97,7.31,4.15,7.03,93.23,2.74,97.54,10.58,5.93,5.64,5.84,5.74,4.31,4.02,4.77,6.38,6.54,4.02,12.57,6.58,15.08,10.39,7.99,7.96,5.73,5.9,5.9,3.73,3.75,3.79,3.78,3.78,3.76,11.93,11.72,10.08,9.94,10.03,9.87,10.12,11.22,11.94,9.33,8.67,8.35,8.16,9.78,8.74,10.64,10.09,10.72,10.51,9.93,10.6,10.46,8.82,10.07,5.7,5.74,7.12,7.54,7.83,8.03,6.9,6.87,7,6.84,7.69,7.78,7.85,7.87,7.67,7.73,8.11,8.02,8.09,8.07,8.01,8.06,3.96,4.04,3.98,4.54,4.59,22.87,7.35,7.79,7.02,6.32,6.4,6.39,11.43,6.27,6.5,6.25,6.29,6.25,5.95,6.24,6.5,6.44,6.55
Clostridium perfringens,82.77,88.48,0.94,92.19,95.77,67.61,91.53,75.54,88.27,94.12,0.88,90.11,92.62,74.54,91.54,0.03,2.1,95.63,0.84,90.33,85.43,62.26,91.65,76.73,89.73,91.53,0.87,90.6,84.67,73.02,89.62,91.81,89.4,0.94,92.01,0.77,85,0.35,89.44,91.86,89.95,0.92,91.96,95.7,94.06,0.36,89.2,91.46,0.14,0.92,92.11,0.78,88.65,94.73,89.9,92.17,37.47,0.92,92.07,0.77,89.82,94.59,94.61,0.93,0.26,80.95,1.11,93.99,89.36,94.57,94.8,0.06,0.09,82.03,0.92,95.74,88.13,94.72,94.56,0.06,90.52,81.33,92.19,95.71,92.66,0.89,0.04,0.04,89.05,93.78,94.11,93.86,93.99,95.61,95.89,95.1,93.24,93.07,95.85,87.07,93.05,84.14,89.04,91.7,91.73,94.03,93.81,93.81,96.13,96.11,96.06,96.07,96.07,96.08,87.79,88,89.36,89.51,89.41,89.55,89.31,88.16,87.43,90.28,90.91,91.22,91.41,89.79,90.84,88.94,89.34,88.68,88.93,89.5,88.8,88.92,90.75,89.34,94.15,94.11,92.76,92.35,91.94,91.73,92.66,92.72,92.57,92.94,92.06,91.96,91.88,91.86,92.07,92.02,91.57,91.68,91.6,91.63,91.68,91.62,95.94,95.86,95.93,95.34,95.29,76.9,92.24,91.82,92.65,93.38,93.29,93.29,88.27,93.43,93.2,93.47,93.42,93.46,93.76,93.48,93.14,93.19,93.08
Peptoclostridium difficile,0,0,0.31,0,0,0,0,0,0.01,0,0.32,0,0,0,0,97.61,0.19,0,0.29,0,0,0,0,0,0,0,0.31,0,0,0,0,0,0.01,0.18,0,0.17,0,0.09,0,0,0.03,0.18,0,0,0,0.09,0,0,3.02,0.17,0,0.16,0,0,0,0,0.05,0.18,0,0.16,0,0,0,0.09,3.21,0,0.09,0,0,0,0,0.36,0.04,0,0.08,0,0,0,0,0.37,0.03,0,0,0,0,0.38,0.04,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enterococcus faecalis,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,0.01,0,0,0.18,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0.01,0.16,0,0,0,0,0,94.98,0.02,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clostridium botulinum,0.03,0.02,1.66,0.01,0.01,0.04,0.03,0.04,0.02,0.02,1.67,0.03,0.03,0.05,0.03,0,2.41,0.01,1.52,0.03,0.02,0.04,0.03,0.04,0.01,0.03,1.63,0.03,0.02,0.05,0.01,0.01,0.04,1.72,0.01,1.64,0.02,2.06,0.01,0.01,0.02,1.7,0.01,0.01,0.01,2.16,0.01,0.01,0.31,1.69,0.01,1.03,0.01,0,0.01,0.01,0.51,1.69,0.01,1,0.01,0,0,1.77,0.42,0.02,1.72,0.02,0.01,0,0,0.06,0.63,0.02,1.75,0.01,0.01,0,0,0.06,0.01,0.02,0.01,0.01,0.04,1.62,0,0.06,0.01,0,0,0,0,0.02,0.02,0.01,0.04,0.05,0,0.03,0.05,0.03,0.02,0.04,0.04,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.03,0.02,0.02,0.02,0.03,0.02,0.02,0.03,0.04,0.04,0.04,0.04,0.05,0.04,0.05,0.02,0.03,0.02,0.02,0.03,0.02,0.02,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.05,0.01,0.01,0.03,0.03,0.02,0.02,0.01,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.05,0.05
Proteus mirabilis,0,0,0,0,0,0,0,17.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clostridium pasteurianum,0,0,0.05,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.11,0,0.05,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.01,0.09,0,0.08,0,0.04,0,0,0,0.09,0,0,0,0.04,0,0,0.02,0.09,0,0.09,0,0,0,0,0.02,0.08,0,0.09,0,0,0,0.05,0.04,0,0.05,0,0,0,0,0,13.78,0,0.05,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0
Clostridium saccharobutylicum,0,0,0.56,0,0,0.01,0,0,0,0,0.56,0,0,0.01,0,0,1.23,0,0.52,0,0,0.01,0,0,0,0,0.54,0,0,0.01,0,0,0.01,0.56,0,0.46,0,2.53,0,0,0.01,0.55,0,0,0,2.7,0,0,0.02,0.55,0,0.19,0,0,0,0,0.11,0.54,0,0.19,0,0,0,0.59,0.06,0.01,0.57,0,0,0,0,0.02,0.11,0,0.58,0,0,0,0,0.02,0.01,0,0,0,0.01,0.6,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0
Clostridium saccharoperbutylacetonicum,0,0.09,0.34,0.01,0,0,0.16,0,0,0,0.35,0.03,0.03,0,0.13,0,0.44,0,0.33,0.03,0.09,0,0.15,0,0,0.03,0.35,0.03,0.09,0,0.04,0.01,0,0.48,0.01,0.42,0.08,1.42,0.05,0.01,0,0.47,0.01,0,0,1.46,0.04,0.01,0.06,0.46,0.01,0.18,0.04,0,0.04,0.01,0.06,0.47,0.01,0.18,0.04,0,0,0.39,0.05,0.01,0.38,0,0.05,0,0,0.02,0.15,0.01,0.38,0,0.06,0,0,0.02,0,0.01,0.01,0,0.11,0.35,0,0.02,0.04,0,0,0,0,0,0,0.06,0.02,0.02,0.02,0,0.02,0.02,0.02,0,0,0,0.01,0.01,0,0,0,0,0,0,0.04,0.04,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.2,0.23,0.24,0.23,0.21,0.23,0.2,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,0,0.01,0.01,0.03,0.03,0,0,0,0,0.06,0.08,0.08,0.08,0.07,0.07,0.15,0.14,0.15,0.14,0.14,0.15,0,0,0,0.05,0.05,0.02,0,0,0.02,0.02,0.02,0.02,0,0.02,0,0,0,0,0,0,0.02,0.02,0.02
Clostridium beijerinckii,0.01,0,0.32,0,0,0,0,0,0,0.01,0.32,0,0,0,0,0,0.36,0,0.3,0,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0.36,0,0.38,0,1.46,0,0,0,0.36,0,0,0,1.5,0,0,0.03,0.36,0,0.12,0,0.01,0,0,0.07,0.35,0,0.12,0,0.01,0,0.33,0.04,0,0.31,0,0,0.01,0.01,0.01,0.11,0.01,0.32,0,0,0.01,0,0.02,0,0.01,0,0,0.01,0.34,0,0.02,0,0.01,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0
